"corpus","word_length","n_words","ngram","trigram","method","pos1","pos2","pos3","pos4","pos5","pos6","pos7","pos8"
"subtlex_uk",9,17911,"trigram","RCV","token",0,0,0,0,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RCW","token",0,0,0,0,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RCX","token",0,0,0,0,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RCY","token",0,0,0,11.0000000000001,0,0,10.0000000000001,NA
"subtlex_uk",9,17911,"trigram","RCZ","token",0,0,0,0,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RDA","token",0,14.0000000000001,146.000000000001,32,969.999999999998,22391.0000000002,0,NA
"subtlex_uk",9,17911,"trigram","RDB","token",0,0,1448.99999999999,0,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RDC","token",0,0,2.99999999999998,0,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RDD","token",0,0,0,0,4.99999999999995,0,2.99999999999998,NA
"subtlex_uk",9,17911,"trigram","RDE","token",0,12.0000000000001,5849.00000000001,21.9999999999998,378.999999999999,1041,10.0000000000001,NA
"subtlex_uk",9,17911,"trigram","RDF","token",0,0,1.99999999999998,98.9999999999999,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RDG","token",0,0,0,2.99999999999998,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RDH","token",0,0,13,0,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RDI","token",0,1210.00000000001,1044,349.000000000003,21393.0000000001,162.000000000001,1.99999999999998,NA
"subtlex_uk",9,17911,"trigram","RDJ","token",0,0,0,0,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RDK","token",0,0,4.00000000000001,0,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RDL","token",0,0,10.0000000000001,13.9999999999999,0,392.000000000004,0,NA
"subtlex_uk",9,17911,"trigram","RDM","token",0,0,0,13,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RDN","token",0,0,6.00000000000005,83.9999999999994,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RDO","token",0,0,51,287,830.999999999999,126.000000000001,25.9999999999999,NA
