"corpus","word_length","n_words","ngram","bigram","method","freq"
"subtlex_uk",3,5268,"bigram","KP","token",53.0000000000002
"subtlex_uk",3,5268,"bigram","KQ","token",0
"subtlex_uk",3,5268,"bigram","KR","token",45
"subtlex_uk",3,5268,"bigram","KS","token",78.9999999999999
"subtlex_uk",3,5268,"bigram","KT","token",27
"subtlex_uk",3,5268,"bigram","KU","token",212.000000000001
"subtlex_uk",3,5268,"bigram","KV","token",0
"subtlex_uk",3,5268,"bigram","KW","token",48.0000000000003
"subtlex_uk",3,5268,"bigram","KX","token",0
"subtlex_uk",3,5268,"bigram","KY","token",12923
"subtlex_uk",3,5268,"bigram","KZ","token",1.99999999999998
"subtlex_uk",3,5268,"bigram","LA","token",52380.9999999999
"subtlex_uk",3,5268,"bigram","LB","token",310.000000000001
"subtlex_uk",3,5268,"bigram","LC","token",822.999999999996
"subtlex_uk",3,5268,"bigram","LD","token",125749.999999999
"subtlex_uk",3,5268,"bigram","LE","token",341722.000000002
"subtlex_uk",3,5268,"bigram","LF","token",1402
"subtlex_uk",3,5268,"bigram","LG","token",281.999999999998
"subtlex_uk",3,5268,"bigram","LH","token",75.0000000000005
"subtlex_uk",3,5268,"bigram","LI","token",36925.9999999999
"subtlex_uk",3,5268,"bigram","LJ","token",0
"subtlex_uk",3,5268,"bigram","LK","token",394.999999999999
"subtlex_uk",3,5268,"bigram","LL","token",858959.000000007
"subtlex_uk",3,5268,"bigram","LM","token",626.000000000002
"subtlex_uk",3,5268,"bigram","LN","token",34.0000000000001
"subtlex_uk",3,5268,"bigram","LO","token",228760.000000001
"subtlex_uk",3,5268,"bigram","LP","token",321.000000000001
"subtlex_uk",3,5268,"bigram","LQ","token",0
"subtlex_uk",3,5268,"bigram","LR","token",111
"subtlex_uk",3,5268,"bigram","LS","token",1367
"subtlex_uk",3,5268,"bigram","LT","token",752.000000000003
"subtlex_uk",3,5268,"bigram","LU","token",2650.00000000001
"subtlex_uk",3,5268,"bigram","LV","token",18
"subtlex_uk",3,5268,"bigram","LW","token",20.9999999999999
"subtlex_uk",3,5268,"bigram","LX","token",1.99999999999998
"subtlex_uk",3,5268,"bigram","LY","token",17600.9999999999
