"corpus","sequence_length","n_sequences","ngram","biphone","method","pos1","pos2","pos3","pos4","pos5","pos6","pos7","pos8","pos9","pos10","pos11"
"CMU",2,1000,"biphone","G-AO","type",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","HH-AO","type",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","JH-AO","type",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","K-AO","type",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","L-AO","type",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","M-AO","type",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","N-AO","type",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","NG-AO","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","P-AO","type",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","R-AO","type",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","S-AO","type",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","SH-AO","type",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","T-AO","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","TH-AO","type",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","V-AO","type",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","W-AO","type",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","Y-AO","type",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","Z-AO","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","ZH-AO","type",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","Q-AO","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","AA-AW","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","AE-AW","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","AH-AW","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","AO-AW","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","AW-AW","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","AY-AW","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","EH-AW","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","ER-AW","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","EY-AW","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","IH-AW","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","IY-AW","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","OW-AW","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","OY-AW","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","UH-AW","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","UW-AW","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","AX-AW","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","AXR-AW","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","IX-AW","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","UX-AW","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","B-AW","type",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","CH-AW","type",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","D-AW","type",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","DH-AW","type",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","F-AW","type",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","G-AW","type",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","HH-AW","type",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","JH-AW","type",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","K-AW","type",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","L-AW","type",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","M-AW","type",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","N-AW","type",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","NG-AW","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","P-AW","type",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","R-AW","type",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","S-AW","type",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","SH-AW","type",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","T-AW","type",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","TH-AW","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","V-AW","type",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","W-AW","type",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","Y-AW","type",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","Z-AW","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","ZH-AW","type",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","Q-AW","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","AA-AY","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","AE-AY","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","AH-AY","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","AO-AY","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","AW-AY","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","AY-AY","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","EH-AY","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","ER-AY","type",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","EY-AY","type",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","IH-AY","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","IY-AY","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","OW-AY","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","OY-AY","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","UH-AY","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","UW-AY","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","AX-AY","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","AXR-AY","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","IX-AY","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","UX-AY","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","B-AY","type",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","CH-AY","type",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","D-AY","type",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","DH-AY","type",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","F-AY","type",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","G-AY","type",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","HH-AY","type",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","JH-AY","type",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","K-AY","type",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","L-AY","type",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","M-AY","type",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
