"corpus","sequence_length","n_sequences","ngram","biphone","method","freq"
"CMU",2,1000,"biphone","ZH-ER","type",0
"CMU",2,1000,"biphone","Q-ER","type",0
"CMU",2,1000,"biphone","AA-EY","type",0
"CMU",2,1000,"biphone","AE-EY","type",0
"CMU",2,1000,"biphone","AH-EY","type",0
"CMU",2,1000,"biphone","AO-EY","type",0
"CMU",2,1000,"biphone","AW-EY","type",0
"CMU",2,1000,"biphone","AY-EY","type",0
"CMU",2,1000,"biphone","EH-EY","type",0
"CMU",2,1000,"biphone","ER-EY","type",1
"CMU",2,1000,"biphone","EY-EY","type",1
"CMU",2,1000,"biphone","IH-EY","type",0
"CMU",2,1000,"biphone","IY-EY","type",0
"CMU",2,1000,"biphone","OW-EY","type",0
"CMU",2,1000,"biphone","OY-EY","type",0
"CMU",2,1000,"biphone","UH-EY","type",0
"CMU",2,1000,"biphone","UW-EY","type",0
"CMU",2,1000,"biphone","AX-EY","type",0
"CMU",2,1000,"biphone","AXR-EY","type",0
"CMU",2,1000,"biphone","IX-EY","type",0
"CMU",2,1000,"biphone","UX-EY","type",0
"CMU",2,1000,"biphone","B-EY","type",4
"CMU",2,1000,"biphone","CH-EY","type",1
"CMU",2,1000,"biphone","D-EY","type",5
"CMU",2,1000,"biphone","DH-EY","type",1
"CMU",2,1000,"biphone","F-EY","type",4
"CMU",2,1000,"biphone","G-EY","type",4
"CMU",2,1000,"biphone","HH-EY","type",4
"CMU",2,1000,"biphone","JH-EY","type",5
"CMU",2,1000,"biphone","K-EY","type",10
"CMU",2,1000,"biphone","L-EY","type",7
"CMU",2,1000,"biphone","M-EY","type",5
"CMU",2,1000,"biphone","N-EY","type",4
"CMU",2,1000,"biphone","NG-EY","type",0
"CMU",2,1000,"biphone","P-EY","type",3
"CMU",2,1000,"biphone","R-EY","type",8
"CMU",2,1000,"biphone","S-EY","type",5
"CMU",2,1000,"biphone","SH-EY","type",5
"CMU",2,1000,"biphone","T-EY","type",2
"CMU",2,1000,"biphone","TH-EY","type",0
"CMU",2,1000,"biphone","V-EY","type",1
"CMU",2,1000,"biphone","W-EY","type",7
"CMU",2,1000,"biphone","Y-EY","type",2
"CMU",2,1000,"biphone","Z-EY","type",1
"CMU",2,1000,"biphone","ZH-EY","type",0
"CMU",2,1000,"biphone","Q-EY","type",0
"CMU",2,1000,"biphone","AA-IH","type",0
"CMU",2,1000,"biphone","AE-IH","type",0
"CMU",2,1000,"biphone","AH-IH","type",0
"CMU",2,1000,"biphone","AO-IH","type",0
"CMU",2,1000,"biphone","AW-IH","type",0
"CMU",2,1000,"biphone","AY-IH","type",0
"CMU",2,1000,"biphone","EH-IH","type",0
"CMU",2,1000,"biphone","ER-IH","type",0
"CMU",2,1000,"biphone","EY-IH","type",0
"CMU",2,1000,"biphone","IH-IH","type",0
"CMU",2,1000,"biphone","IY-IH","type",0
"CMU",2,1000,"biphone","OW-IH","type",0
"CMU",2,1000,"biphone","OY-IH","type",0
"CMU",2,1000,"biphone","UH-IH","type",0
"CMU",2,1000,"biphone","UW-IH","type",0
"CMU",2,1000,"biphone","AX-IH","type",0
"CMU",2,1000,"biphone","AXR-IH","type",0
"CMU",2,1000,"biphone","IX-IH","type",0
"CMU",2,1000,"biphone","UX-IH","type",0
"CMU",2,1000,"biphone","B-IH","type",1
"CMU",2,1000,"biphone","CH-IH","type",0
"CMU",2,1000,"biphone","D-IH","type",1
"CMU",2,1000,"biphone","DH-IH","type",0
"CMU",2,1000,"biphone","F-IH","type",0
"CMU",2,1000,"biphone","G-IH","type",0
"CMU",2,1000,"biphone","HH-IH","type",0
"CMU",2,1000,"biphone","JH-IH","type",0
"CMU",2,1000,"biphone","K-IH","type",0
"CMU",2,1000,"biphone","L-IH","type",0
"CMU",2,1000,"biphone","M-IH","type",0
"CMU",2,1000,"biphone","N-IH","type",0
"CMU",2,1000,"biphone","NG-IH","type",0
"CMU",2,1000,"biphone","P-IH","type",1
"CMU",2,1000,"biphone","R-IH","type",0
"CMU",2,1000,"biphone","S-IH","type",0
"CMU",2,1000,"biphone","SH-IH","type",0
"CMU",2,1000,"biphone","T-IH","type",1
"CMU",2,1000,"biphone","TH-IH","type",0
"CMU",2,1000,"biphone","V-IH","type",0
"CMU",2,1000,"biphone","W-IH","type",0
"CMU",2,1000,"biphone","Y-IH","type",0
"CMU",2,1000,"biphone","Z-IH","type",0
"CMU",2,1000,"biphone","ZH-IH","type",0
"CMU",2,1000,"biphone","Q-IH","type",0
"CMU",2,1000,"biphone","AA-IY","type",0
