"corpus","sequence_length","n_sequences","ngram","phoneme","method","pos1","pos2","pos3","pos4","pos5","pos6","pos7","pos8","pos9","pos10","pos11","pos12"
"CMU",3,6841,"phoneme","OW","type",84,428,159,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"phoneme","OY","type",8,110,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"phoneme","UH","type",1,74,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"phoneme","UW","type",20,408,97,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"phoneme","AX","type",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"phoneme","AXR","type",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"phoneme","IX","type",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"phoneme","UX","type",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"phoneme","B","type",511,44,155,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"phoneme","CH","type",109,7,183,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"phoneme","D","type",350,69,338,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"phoneme","DH","type",23,7,21,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"phoneme","F","type",263,16,158,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"phoneme","G","type",250,24,157,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"phoneme","HH","type",429,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"phoneme","JH","type",178,12,81,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"phoneme","K","type",496,75,496,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"phoneme","L","type",392,218,592,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"phoneme","M","type",361,56,288,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"phoneme","N","type",272,93,620,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"phoneme","NG","type",0,6,131,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"phoneme","P","type",294,29,247,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"phoneme","R","type",449,205,324,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"phoneme","S","type",364,53,419,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"phoneme","SH","type",273,20,166,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"phoneme","T","type",277,57,426,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"phoneme","TH","type",77,12,119,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"phoneme","V","type",124,24,89,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"phoneme","W","type",265,35,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"phoneme","Y","type",106,29,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
